Dst Port,Bwd Packets/s,Fwd Seg Size Min,Flow IAT Mean,Down/Up Ratio,FWD Init Win Bytes,Flow IAT Max,Flow Packets/s,Packet Length Max,Src Port,Flow Duration,Bwd Init Win Bytes,Fwd Packet Length Max,Bwd IAT Mean,PSH Flag Count,Fwd Packet Length Mean,Packet Length Mean,Flow Bytes/s,Bwd Packet Length Max,Total Bwd packets,FIN Flag Count,Bwd Packet Length Mean,Total Fwd Packet,Bwd IAT Total,Label
80,145.3973,1,787.5916,1,296.5669,962.9305,333.0402,595,36707,8556,114.5441,76.6162,952.2062,2,333.5294,346.9893,660.4411,150.4389,391.6343,0,433.4659,5,677.2285,Benign
3389,609.802,2,542.9516,2,46.1745,33.2019,46.5061,130,25797,635490,722.525,253.3858,666.9925,2,527.4406,820.7427,307.109,359.7577,23.5159,5,520.8961,48,854.2787,Generic
22,206.3353,4,946.793,2,505.2481,29.888,19.1669,262,23821,964434,742.2351,571.7464,669.6995,3,840.8935,45.4706,758.6191,928.4411,402.5431,2,821.4955,33,493.1491,Exploits
80,857.8052,2,525.9311,2,680.7788,97.3249,9273.077,1462,64048,375,661.8079,978.8736,437.7891,1,674.4592,272.8686,443.5363,856.8214,973.4886,4,499.7795,1227,72.0714,DoS
8080,640.6218,3,408.0861,2,406.9612,282.7529,88.1811,1338,18313,12578,257.5795,713.5539,98.7415,0,780.5553,379.6041,215.4198,802.2107,698.3134,4,258.7072,15,593.8503,Benign
80,879.0958,1,97.4329,2,347.7103,187.6197,11.8496,1440,25294,15098,255.8885,816.5734,221.3051,3,769.0318,971.0314,570.9077,635.7466,923.0422,5,399.1366,20,768.9031,Benign
445,489.4163,1,395.9825,4,450.4001,855.4819,44.7433,355,46738,447094,172.0929,682.4557,307.5792,0,437.7687,156.4237,963.1557,441.2984,593.4558,1,632.4678,50,856.4081,Exploits
443,107.9314,3,482.0264,3,992.6413,892.0162,310.9264,65,56141,46193,449.7628,24.1185,965.2298,3,527.4641,475.0174,682.934,995.1574,162.9307,4,92.3334,9,426.321,Benign
80,17.9572,0,642.732,5,912.9896,400.5455,498.3097,1180,61724,6400,605.0726,321.163,358.4623,5,947.1208,754.3565,845.2929,750.8016,352.3672,1,457.6599,18,801.6215,Benign
443,646.5589,1,207.5148,5,168.032,119.3872,208.6113,1310,14142,31270,292.6166,58.2946,940.4855,5,975.7651,90.7074,144.9529,969.4839,236.7937,3,612.0303,4,249.2836,Benign
443,955.3386,4,35.0335,1,367.7379,300.1518,342.0844,579,17868,46800,366.1637,981.1752,782.3217,0,498.8088,736.6303,302.2514,67.1531,81.9463,1,725.3482,6,60.4709,Benign
80,794.2602,5,685.9971,5,164.4328,970.3018,449.3352,533,25675,26647,38.7399,764.1629,860.032,2,880.9221,490.7145,933.4821,781.0387,233.4057,2,792.2292,19,735.4765,Benign
8080,192.0727,3,504.7272,2,868.5308,27.3593,314.702,1239,30130,48655,460.5077,320.9563,997.7345,0,243.1446,159.3782,556.6428,835.9655,349.5422,0,508.4569,18,162.8432,Benign
80,67.1602,1,715.3866,1,857.5308,122.9361,213.5551,630,55423,46250,423.474,967.3026,849.3818,2,919.5872,258.3871,672.2276,155.3709,740.6491,0,671.8716,20,589.754,Benign
443,348.8695,4,908.4647,0,869.9817,883.7632,110.3651,902,40696,33757,442.6073,955.2654,661.4903,0,564.7275,750.8266,817.8013,506.4163,522.1211,0,300.6986,2,461.2543,Benign
8080,910.0545,5,206.7353,2,194.0294,554.2539,439.3317,474,39672,26557,981.8907,785.3472,732.9715,4,33.8744,721.901,542.483,410.1257,863.7782,2,640.0356,17,46.1012,Benign
443,741.5046,4,413.019,0,654.5715,908.0188,418.2401,406,32290,22642,653.9876,420.0436,125.6967,4,37.3646,456.7933,685.0666,591.4401,683.5658,1,903.4662,17,236.3845,Benign
443,233.4412,0,824.7056,1,780.6865,868.5878,70.1563,233,45032,39515,158.9606,680.8728,638.5208,2,800.7,761.2762,355.5445,33.2685,257.8685,1,538.4249,12,667.8704,Benign
23,596.8801,1,822.6911,2,840.3495,787.6187,15.7003,245,23708,250826,681.0413,538.9577,957.308,4,531.3768,761.2718,967.4755,917.2514,379.763,3,335.0652,25,20.0006,Generic
80,747.4439,1,309.8646,3,548.3484,883.1781,8131.6119,1270,33326,243,142.6098,403.1078,78.2923,0,197.8015,56.1856,179.312,169.2944,650.6387,0,281.5329,1455,939.0578,DoS
