Src Port,Dst Port,Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
65179,2148,6,59267,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.36397995511837,14816.75,21822.74007199829,46232.0,9.0,46241.0,23120.5,32684.596746785784,46232.0,9.0,9.0,9.0,0.0,9.0,9.0,0,0,0,0,60,40,50.618387973071016,33.745591982047344,0.0,0.0,0.0,0.0,0.0,1,0,0,0,5,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,16383,16383,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS
30092,111,6,67490,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.08504963698326,16872.5,24424.04572683786,51791.0,2.0,15697.0,7848.5,11082.48458153676,15685.0,12.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,60,40,44.45102978218996,29.634019854793305,0.0,0.0,0.0,0.0,0.0,1,0,0,0,5,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,16383,16383,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reconnaissance
5023,80,6,451537,7,17,394.0,16222.0,197.0,0.0,56.28571428571428,96.12615718543051,1460.0,0.0,954.2352941176472,668.5729699714689,36798.756248103695,53.15179044020756,19632.043478260868,52846.20775031007,248517.0,2.0,450504.0,75084.0,121403.13673707117,310941.0,3.0,411553.0,25722.0625,86640.48256211316,348092.0,2.0,0,0,0,0,172,356,15.502605545060536,37.649184895147016,0.0,1460.0,664.6399999999999,697.1788914379628,486058.4066666667,2,4,0,2,22,0,0,0,2.0,692.3333333333334,56.285714285714285,954.2352941176472,0,0,0,16616,14,58047,0,0,0,0,16383,16383,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exploits
56728,111,6,2301219,6,5,120.0,0.0,60.0,0.0,20.0,30.983866769659336,0.0,0.0,0.0,0.0,52.14627551745401,4.780075255766618,230121.9,392750.11369216826,1092803.0,2.0,943511.0,188702.2,348153.76855378144,801744.0,2.0,2247723.0,561930.75,649352.9505645729,1154913.0,3.0,0,0,0,0,152,116,2.6073137758727003,2.172761479893917,0.0,60.0,9.999999999999998,23.35496832484569,545.4545454545455,1,4,0,0,9,0,0,0,0.0,10.909090909090908,20.0,0.0,0,0,0,0,0,0,6,120,5,0,16383,16383,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reconnaissance
9090,179,6,183539,6,3,294.0,0.0,147.0,0.0,49.0,75.91047358566537,0.0,0.0,0.0,0.0,1601.839391083094,49.03589972703349,22942.375,26497.828767857834,56458.0,7.0,127081.0,25416.2,35827.77436849797,75628.0,8.0,160454.0,80227.0,113448.21197356968,160447.0,7.0,0,0,0,0,152,76,32.69059981802233,16.345299909011164,0.0,147.0,29.4,61.98064213930024,3841.6,1,4,0,0,7,0,0,0,0.0,32.666666666666664,49.0,0.0,0,0,0,0,0,0,0,0,0,0,16383,16383,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Generic
38675,143,6,32393,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.354335813293,8098.25,9362.365348386416,16895.0,3.0,15490.0,7745.0,10948.841399892504,15487.0,3.0,8.0,8.0,0.0,8.0,8.0,0,0,0,0,60,40,92.6126014879758,61.7417343253172,0.0,0.0,0.0,0.0,0.0,1,0,0,0,5,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,16383,16383,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Generic
47199,80,6,1693759,9,9,838.0,2524.0,241.0,0.0,93.11111111111111,112.6404062098105,670.0,0.0,280.44444444444446,333.70762319398364,1984.9341021951768,10.62724980354348,99632.88235294116,255502.3096343461,1055145.0,1.0,1693610.0,211701.25,363665.7512472329,1055145.0,1.0,1610902.0,201362.75,479456.2926383384,1381318.0,2.0,0,0,0,0,212,196,5.31362490177174,5.31362490177174,0.0,670.0,176.94736842105263,256.4025640546544,65742.27485380117,2,4,0,0,16,0,0,0,1.0,186.77777777777777,93.11111111111111,280.44444444444446,0,0,0,3362,8,7820,9,838,9,2524,16383,16383,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS
17818,80,6,399657,7,5,356.0,586.0,178.0,0.0,50.85714285714286,86.85510649241945,293.0,0.0,117.2,160.48270934901367,2357.02114563238,30.02574707811949,36332.454545454544,46163.9662623645,118290.0,1.0,398146.0,66357.66666666666,93124.66133665488,225845.0,1.0,332265.0,83066.25,103101.6068752083,212456.0,2.0,0,0,0,0,172,116,17.515019128903035,12.510727949216454,0.0,293.0,72.46153846153847,117.9008166388281,13900.602564102564,2,4,0,2,10,0,0,0,0.0,78.5,50.85714285714285,117.2,0,0,0,942,4,8757,0,0,0,0,16383,16383,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS
16429,111,17,15,2,0,112.0,0.0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,7466666.666666666,133333.33333333334,15.0,0.0,15.0,15.0,15.0,15.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,133333.33333333334,0.0,56.0,56.0,56.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,84.0,56.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reconnaissance
41035,9567,6,21512,46,47,470.0,29312.0,66.0,0.0,10.217391304347828,20.08417070838321,1300.0,0.0,623.6595744680852,618.650961387681,1384436.593529193,4323.168464113053,233.8260869565217,448.5145594974852,2232.0,1.0,20524.0,456.0888888888889,721.6656497998295,2488.0,1.0,20854.0,453.3478260869565,720.7651248620394,2497.0,1.0,0,0,0,0,1480,1512,2138.3413908516177,2184.8270732614355,0.0,1300.0,316.82978723404256,533.5353106452568,284659.92770533066,1,4,0,46,91,0,0,0,1.0,320.23655913978496,10.217391304347826,623.6595744680851,0,0,0,29782,46,1483462,0,0,0,0,5792,14480,12,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
